Question Number,Similarity Score (%),Marks Awarded,Max Marks
Q1,100.0,5,5
Q2,100.0,5,5
Q3,81.82,4,5
Q4,16.67,1,5
Q5,30.77,2,5
Q6,47.06,2,5
Q7,24.0,1,5
Q8,15.38,1,5
Q9,22.22,1,5
Q10,9.52,0,5
Q11,17.65,1,5
Q12,35.9,2,5
Q13,22.22,1,5
Q14,28.57,1,5
Q15,22.22,1,5
Q16,18.75,1,5
Q17,14.81,1,5
Q18,23.53,1,5
Q19,18.18,1,5
Q20,11.76,1,5
Q21,100.0,5,5
Q22,66.67,3,5
Q23,15.38,1,5
Q24,33.33,2,5
Q25,28.57,1,5
Q26,33.33,2,5
Q27,28.57,1,5
Q28,16.67,1,5
Q29,25.0,1,5
Q30,44.44,2,5
Q31,18.18,1,5
Q32,57.14,3,5
Q33,12.5,1,5
Q34,0.0,0,5
Total,,57,170
